anomaly_type,record_id,detail
high_sodium_known_high,NUTR-0000615,Na > 200 mg/100g : cohérent avec catégorie (fromage affiné / sauce soja / saindoux / moutarde)
high_sodium_known_high,NUTR-0000625,Na > 200 mg/100g : cohérent avec catégorie (fromage affiné / sauce soja / saindoux / moutarde)
high_sodium_known_high,NUTR-0000634,Na > 200 mg/100g : cohérent avec catégorie (fromage affiné / sauce soja / saindoux / moutarde)
high_sodium_known_high,NUTR-0000658,Na > 200 mg/100g : cohérent avec catégorie (fromage affiné / sauce soja / saindoux / moutarde)
high_sodium_known_high,NUTR-0000667,Na > 200 mg/100g : cohérent avec catégorie (fromage affiné / sauce soja / saindoux / moutarde)
high_sodium_known_high,NUTR-0000737,Na > 200 mg/100g : cohérent avec catégorie (fromage affiné / sauce soja / saindoux / moutarde)
