record_id,combination_size,ingredient_ids,ingredient_names,context,process_context,observed_or_predicted,aroma_similarity,aroma_complement,aroma_contrast,taste_balance,culinary_support,sensory_support,dominance_risk,masking_risk,novelty_score,overall_score,confidence,key_compounds,key_descriptors,bridge_ingredients,evidence_refs,model_version,explanation
COMP-000017,2,ING-BEV-CAFFILTRE-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000018,2,ING-PLANT-ABRICOT-000001|ING-PLANT-CANNELLE-000001,,all,raw_or_cooked,predicted,0.000,0.167,0.833,0.400,,,0.250,0.000,,0.080,0.715,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000019,2,ING-PLANT-ABRICOT-000001|ING-PLANT-CASSIS-000001,,all,raw_or_cooked,predicted,0.000,0.200,0.800,0.400,,,0.250,0.200,,0.050,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
COMP-000020,2,ING-PLANT-ABRICOT-000001|ING-PLANT-CERISE-000001,,all,raw_or_cooked,predicted,0.000,1.000,0.000,0.400,,,0.250,0.600,,0.210,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=1.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.60
COMP-000021,2,ING-FUNGUS-CHAMPIGNONDE-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.715,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000022,2,ING-DAIRY-CHEDDAR-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.800,,,0.250,0.000,,0.110,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
COMP-000023,2,ING-PLANT-ABRICOT-000001|ING-TECH-CHOCOLATAULA-000001,,all,raw_or_cooked,predicted,0.000,0.167,0.833,0.400,,,0.250,0.200,,0.040,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
COMP-000024,2,ING-PLANT-ABRICOT-000001|ING-TECH-CHOCOLATNOIR-000001,,all,raw_or_cooked,predicted,0.000,0.167,0.833,0.600,,,0.250,0.200,,0.080,0.745,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.20
COMP-000025,2,ING-PLANT-ABRICOT-000001|ING-TECH-CHOCOLATNOIR-000002,,all,raw_or_cooked,predicted,0.000,0.143,0.857,0.600,,,0.250,0.000,,0.113,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.14; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000026,2,ING-PLANT-ABRICOT-000001|ING-PLANT-CIBOULETTE-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000027,2,ING-PLANT-ABRICOT-000001|ING-PLANT-CITRONJAUNE-000001,,all,raw_or_cooked,predicted,0.000,0.167,0.833,0.400,,,0.250,0.200,,0.040,0.745,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
COMP-000028,2,ING-PLANT-ABRICOT-000001|ING-PLANT-CITRONVERT-000001,,all,raw_or_cooked,predicted,0.000,0.200,0.800,0.400,,,0.250,0.200,,0.050,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
COMP-000029,2,ING-PLANT-ABRICOT-000001|ING-PLANT-CLOUDEGIROFL-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.715,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000030,2,ING-DAIRY-COMT-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.800,,,0.250,0.000,,0.110,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
COMP-000031,2,ING-FERMENT-CONCENTRDETO-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000032,2,ING-PLANT-ABRICOT-000001|ING-PLANT-CORIANDREFRA-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000033,2,ING-FERMENT-COULISDETOMA-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000034,2,ING-MARINE-CREVETTE-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000035,2,ING-DAIRY-CRMELIQUIDEE-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000036,2,ING-PLANT-ABRICOT-000001|ING-PLANT-CURCUMA-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000037,2,ING-FUNGUS-CPE-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000038,2,ING-PLANT-ABRICOT-000001|ING-PLANT-ESTRAGON-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000039,2,ING-PLANT-ABRICOT-000001|ING-PLANT-FRAISE-000001,,all,raw_or_cooked,predicted,0.000,0.400,0.600,0.400,,,0.250,0.400,,0.070,0.745,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
COMP-000040,2,ING-PLANT-ABRICOT-000001|ING-PLANT-FRAMBOISE-000001,,all,raw_or_cooked,predicted,0.000,0.400,0.600,0.400,,,0.250,0.200,,0.110,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
